payment_id,order_id,payment_method,payment_status
2082,1082,Card,Success
2083,1083,UPI,Pending
2084,1084,COD,Success
2085,1085,Card,Success
2086,1086,UPI,Failed
2087,1087,Card,Success
2088,1088,UPI,Success
2089,1089,Card,Success
2090,1090,COD,Success
2091,1091,UPI,Success
2092,1092,Card,Pending
2093,1093,COD,Success
2094,1094,Card,Success
2095,1095,UPI,Success
2096,1096,COD,Failed
2097,1097,Card,Success
2098,1098,UPI,Success
2099,1099,COD,Success
2100,1100,Card,Pending
2101,1101,UPI,Success
2102,1102,Card,Success
2103,1103,COD,Success
2104,1104,UPI,Failed
2105,1105,Card,Success
2106,1106,UPI,Success
2107,1107,COD,Success
2108,1108,Card,Failed
2109,1109,UPI,Success
2110,1110,UPI,Success
2111,1111,UPI,Success
2112,1112,Card,Success
2113,1113,Card,Pending
2114,1114,UPI,Success
2115,1115,UPI,Pending
2116,1116,Card,Success
2117,1117,UPI,Success
2118,1118,UPI,Success
2119,1119,UPI,Failed
2120,1120,Card,Success
2121,1121,COD,Success
2122,1122,UPI,Success
2123,1123,UPI,Success
2124,1124,COD,Pending
2125,1125,UPI,Pending
2126,1126,COD,Success
2127,1127,Card,Success
2128,1128,COD,Pending
2129,1129,UPI,Success
2130,1130,Card,Success
2131,1131,UPI,Success
2132,1132,COD,Failed
2133,1133,COD,Success
2134,1134,COD,Success
2135,1135,UPI,Pending
2136,1136,Card,Success
2137,1137,UPI,Success
2138,1138,UPI,Failed
2139,1139,Card,Failed
2140,1140,COD,Success
2141,1141,COD,Success
2142,1142,Card,Pending
2143,1143,UPI,Success
2144,1144,Card,Success
2145,1145,UPI,Success
2146,1146,Card,Success
2147,1147,Card,Success
2148,1148,UPI,Success
2149,1149,UPI,Failed
2150,1150,UPI,Success
2151,1151,COD,Pending
2152,1152,Card,Success
2153,1153,UPI,Success
2154,1154,UPI,Success
2155,1155,COD,Failed
2156,1156,Card,Failed
2157,1157,UPI,Pending
2158,1158,COD,Success
2159,1159,Card,Success
2160,1160,UPI,Success
2161,1161,COD,Success
2162,1162,Card,Success
2163,1163,COD,Success
2164,1164,Card,Pending
2165,1165,Card,Success
2166,1166,Card,Success
2167,1167,COD,Success
2168,1168,COD,Failed
2169,1169,UPI,Failed
2170,1170,Card,Success
2171,1171,Card,Success
2172,1172,COD,Pending
2173,1173,Card,Success
2174,1174,UPI,Success
2175,1175,UPI,Success
2176,1176,COD,Success
2177,1177,COD,Success
2178,1178,UPI,Success
2179,1179,Card,Success
2180,1180,Card,Pending
2181,1181,UPI,Success
2182,1182,UPI,Success
2183,1183,UPI,Pending
2184,1184,Card,Success
2185,1185,COD,Success
2186,1186,UPI,Success
2187,1187,Card,Success
2188,1188,UPI,Success
2189,1189,COD,Success
2190,1190,UPI,Success
2191,1191,Card,Failed
2192,1192,Card,Success
2193,1193,COD,Success
2194,1194,UPI,Success
2195,1195,COD,Success
2196,1196,UPI,Success
2197,1197,UPI,Failed
2198,1198,COD,Success
2199,1199,UPI,Success
2200,1200,UPI,Pending
2201,1201,Card,Success
2202,1202,UPI,Failed
2203,1203,UPI,Success
2204,1204,UPI,Success
2205,1205,Card,Failed
2206,1206,UPI,Success
2207,1207,Card,Success
2208,1208,COD,Success
2209,1209,COD,Success
2210,1210,UPI,Success
2211,1211,UPI,Success
2212,1212,UPI,Success
2213,1213,COD,Success
2214,1214,Card,Success
2215,1215,UPI,Success
2216,1216,COD,Success
2217,1217,COD,Failed
2218,1218,Card,Success
2219,1219,UPI,Success
2220,1220,Card,Failed
2221,1221,Card,Success
2222,1222,UPI,Failed
2223,1223,Card,Success
2224,1224,Card,Success
2225,1225,COD,Success
2226,1226,Card,Success
2227,1227,UPI,Success
2228,1228,UPI,Success
2229,1229,Card,Success
2230,1230,UPI,Failed
2231,1231,UPI,Success
2232,1232,UPI,Success
2233,1233,Card,Success
2234,1234,UPI,Success
2235,1235,Card,Success
2236,1236,Card,Success
2237,1237,UPI,Failed
2238,1238,COD,Failed
2239,1239,Card,Success
2240,1240,UPI,Success
2241,1241,UPI,Success
2242,1242,COD,Success
2243,1243,COD,Success
2244,1244,UPI,Success
2245,1245,UPI,Failed
2246,1246,Card,Success
2247,1247,COD,Success
2248,1248,COD,Success
2249,1249,Card,Success
2250,1250,UPI,Success
2251,1251,UPI,Success
2252,1252,UPI,Success
2253,1253,UPI,Success
2254,1254,Card,Success
2255,1255,COD,Success
2256,1256,UPI,Success
2257,1257,UPI,Failed
2258,1258,Card,Failed
2259,1259,UPI,Success
2260,1260,COD,Pending
2261,1261,Card,Success
2262,1262,UPI,Pending
2263,1263,COD,Pending
2264,1264,UPI,Success
2265,1265,UPI,Success
2266,1266,Card,Success
2267,1267,UPI,Success
2268,1268,UPI,Success
2269,1269,Card,Success
2270,1270,COD,Success
2271,1271,Card,Success
2272,1272,Card,Success
2273,1273,COD,Failed
2274,1274,UPI,Success
2275,1275,COD,Success
2276,1276,UPI,Success
2277,1277,UPI,Success
2278,1278,UPI,Success
2279,1279,COD,Success
2280,1280,Card,Success
2281,1281,Card,Success
2282,1282,COD,Success
2283,1283,Card,Failed
2284,1284,COD,Success
2285,1285,COD,Success
2286,1286,COD,Failed
2287,1287,COD,Success
2288,1288,UPI,Failed
2289,1289,COD,Success
2290,1290,Card,Success
2291,1291,UPI,Success
2292,1292,COD,Success
2293,1293,COD,Success
2294,1294,UPI,Success
2295,1295,COD,Success
2296,1296,Card,Failed
2297,1297,COD,Success
2298,1298,UPI,Failed
2299,1299,Card,Success
2300,1300,UPI,Success
2301,1301,UPI,Pending
2302,1302,UPI,Success
2303,1303,UPI,Success
2304,1304,COD,Success
2305,1305,COD,Failed
2306,1306,UPI,Pending
2307,1307,UPI,Success
2308,1308,COD,Success
2309,1309,Card,Success
2310,1310,Card,Pending
2311,1311,UPI,Failed
2312,1312,UPI,Failed
2313,1313,UPI,Success
2314,1314,COD,Success
2315,1315,COD,Success
2316,1316,COD,Success
2317,1317,UPI,Success
2318,1318,UPI,Pending
2319,1319,Card,Success
2320,1320,Card,Success
2321,1321,UPI,Failed
2322,1322,COD,Success
2323,1323,UPI,Failed
2324,1324,UPI,Success
2325,1325,UPI,Failed
2326,1326,COD,Success
2327,1327,UPI,Success
2328,1328,COD,Success
2329,1329,Card,Success
2330,1330,Card,Success
2331,1331,UPI,Success
2332,1332,UPI,Success
2333,1333,UPI,Success
2334,1334,Card,Success
2335,1335,COD,Success
2336,1336,UPI,Failed
2337,1337,UPI,Success
2338,1338,Card,Success
2339,1339,UPI,Failed
2340,1340,UPI,Pending
2341,1341,COD,Failed
2342,1342,COD,Failed
2343,1343,Card,Pending
2344,1344,Card,Success
2345,1345,UPI,Success
2346,1346,COD,Success
2347,1347,COD,Success
2348,1348,UPI,Pending
2349,1349,UPI,Success
2350,1350,Card,Success
2351,1351,Card,Failed
2352,1352,Card,Failed
2353,1353,COD,Success
2354,1354,UPI,Success
2355,1355,Card,Pending
2356,1356,UPI,Success
2357,1357,UPI,Pending
2358,1358,Card,Success
2359,1359,UPI,Success
2360,1360,UPI,Failed
2361,1361,UPI,Success
2362,1362,Card,Success
2363,1363,UPI,Success
2364,1364,Card,Pending
2365,1365,UPI,Success
2366,1366,COD,Success
2367,1367,COD,Pending
2368,1368,UPI,Pending
2369,1369,Card,Success
2370,1370,UPI,Success
2371,1371,COD,Success
2372,1372,Card,Success
2373,1373,COD,Success
2374,1374,Card,Failed
2375,1375,UPI,Success
2376,1376,COD,Success
2377,1377,UPI,Success
2378,1378,Card,Success
2379,1379,UPI,Success
2380,1380,COD,Success
2381,1381,Card,Pending
2382,1382,UPI,Success
2383,1383,UPI,Success
2384,1384,UPI,Success
2385,1385,COD,Success
2386,1386,UPI,Pending
2387,1387,UPI,Pending
2388,1388,Card,Success
2389,1389,UPI,Failed
2390,1390,Card,Success
2391,1391,Card,Failed
2392,1392,COD,Failed
2393,1393,UPI,Pending
2394,1394,UPI,Success
2395,1395,UPI,Success
2396,1396,COD,Success
2397,1397,UPI,Failed
2398,1398,COD,Success
2399,1399,UPI,Pending
2400,1400,UPI,Pending
2401,1401,COD,Failed
2402,1402,UPI,Failed
2403,1403,Card,Success
2404,1404,UPI,Success
2405,1405,UPI,Success
2406,1406,UPI,Success
2407,1407,UPI,Success
2408,1408,Card,Success
2409,1409,Card,Pending
2410,1410,Card,Success
2411,1411,Card,Success
2412,1412,UPI,Success
2413,1413,Card,Pending
2414,1414,Card,Success
2415,1415,COD,Success
2416,1416,Card,Success
2417,1417,Card,Failed
2418,1418,COD,Success
2419,1419,UPI,Success
2420,1420,Card,Pending
2421,1421,Card,Success
2422,1422,UPI,Success
2423,1423,COD,Success
2424,1424,UPI,Success
2425,1425,Card,Success
2426,1426,COD,Success
2427,1427,UPI,Failed
2428,1428,COD,Success
2429,1429,Card,Success
2430,1430,Card,Success
2431,1431,UPI,Success
2432,1432,UPI,Success
2433,1433,Card,Pending
2434,1434,Card,Success
2435,1435,Card,Failed
2436,1436,COD,Success
2437,1437,UPI,Success
2438,1438,COD,Success
2439,1439,COD,Success
2440,1440,Card,Success
2441,1441,UPI,Pending
2442,1442,COD,Success
2443,1443,Card,Success
2444,1444,COD,Success
2445,1445,Card,Success
2446,1446,COD,Success
2447,1447,UPI,Success
2448,1448,Card,Success
2449,1449,UPI,Success
2450,1450,COD,Success
2451,1451,COD,Success
2452,1452,Card,Success
2453,1453,UPI,Success
2454,1454,UPI,Success
2455,1455,UPI,Success
2456,1456,UPI,Success
2457,1457,COD,Success
2458,1458,UPI,Success
2459,1459,Card,Success
2460,1460,COD,Failed
2461,1461,UPI,Success
2462,1462,COD,Pending
2463,1463,Card,Failed
2464,1464,COD,Success
2465,1465,UPI,Failed
2466,1466,Card,Success
2467,1467,UPI,Pending
2468,1468,UPI,Success
2469,1469,UPI,Success
2470,1470,Card,Success
2471,1471,Card,Success
2472,1472,UPI,Success
2473,1473,COD,Pending
2474,1474,Card,Success
2475,1475,Card,Success
2476,1476,UPI,Failed
2477,1477,UPI,Success
2478,1478,UPI,Success
2479,1479,Card,Success
2480,1480,UPI,Success
2481,1481,COD,Success
2482,1482,Card,Success
2483,1483,UPI,Success
2484,1484,Card,Success
2485,1485,UPI,Success
2486,1486,COD,Success
2487,1487,UPI,Success
2488,1488,UPI,Success
2489,1489,UPI,Success
2490,1490,COD,Success
2491,1491,UPI,Success
2492,1492,Card,Pending
2493,1493,UPI,Success
2494,1494,UPI,Success
2495,1495,Card,Success
2496,1496,COD,Success
2497,1497,UPI,Pending
2498,1498,UPI,Success
2499,1499,UPI,Success
2500,1500,UPI,Failed
2501,1501,Card,Success
2502,1502,Card,Success
2503,1503,UPI,Success
2504,1504,UPI,Failed
2505,1505,COD,Failed
2506,1506,COD,Success
2507,1507,UPI,Failed
2508,1508,Card,Success
2509,1509,UPI,Success
2510,1510,UPI,Success
2511,1511,Card,Failed
2512,1512,Card,Failed
2513,1513,COD,Success
2514,1514,COD,Pending
2515,1515,COD,Pending
2516,1516,UPI,Failed
2517,1517,UPI,Pending
2518,1518,COD,Success
2519,1519,UPI,Success
2520,1520,Card,Success
2521,1521,COD,Success
2522,1522,COD,Success
2523,1523,Card,Failed
2524,1524,UPI,Success
2525,1525,UPI,Success
2526,1526,Card,Success
2527,1527,COD,Success
2528,1528,UPI,Success
2529,1529,COD,Failed
2530,1530,UPI,Success
2531,1531,COD,Success
2532,1532,COD,Success
2533,1533,UPI,Success
2534,1534,UPI,Pending
2535,1535,Card,Success
2536,1536,UPI,Success
2537,1537,UPI,Pending
2538,1538,COD,Success
2539,1539,UPI,Pending
2540,1540,UPI,Success
2541,1541,UPI,Pending
2542,1542,UPI,Failed
2543,1543,COD,Success
2544,1544,UPI,Success
2545,1545,COD,Success
2546,1546,Card,Success
2547,1547,COD,Success
2548,1548,Card,Failed
2549,1549,Card,Failed
2550,1550,UPI,Success
2551,1551,UPI,Failed
2552,1552,UPI,Failed
2553,1553,UPI,Success
2554,1554,Card,Success
2555,1555,UPI,Failed
2556,1556,Card,Success
2557,1557,UPI,Success
2558,1558,UPI,Success
2559,1559,Card,Success
2560,1560,COD,Success
2561,1561,UPI,Failed
2562,1562,UPI,Success
2563,1563,COD,Success
2564,1564,COD,Success
2565,1565,COD,Success
2566,1566,Card,Success
2567,1567,COD,Success
2568,1568,Card,Success
2569,1569,UPI,Success
2570,1570,Card,Success
2571,1571,UPI,Failed
2572,1572,Card,Success
2573,1573,UPI,Success
2574,1574,UPI,Success
2575,1575,Card,Success
2576,1576,COD,Success
2577,1577,UPI,Success
2578,1578,Card,Success
2579,1579,UPI,Success
2580,1580,UPI,Failed
2581,1581,UPI,Success
2582,1582,UPI,Success
2583,1583,UPI,Success
2584,1584,UPI,Success
2585,1585,COD,Success
2586,1586,Card,Success
2587,1587,UPI,Success
2588,1588,UPI,Failed
2589,1589,Card,Success
2590,1590,UPI,Success
2591,1591,Card,Failed
2592,1592,COD,Success
2593,1593,COD,Success
2594,1594,UPI,Success
2595,1595,UPI,Success
2596,1596,COD,Pending
2597,1597,Card,Success
2598,1598,COD,Success
2599,1599,UPI,Success
2600,1600,UPI,Success
2601,1601,Card,Success
2602,1602,COD,Failed
2603,1603,UPI,Pending
2604,1604,COD,Failed
2605,1605,UPI,Failed
